,source,date,datetime_formats,time_formats,dayfirst
21,"kristine crous new south whales, australia","[None '3/12/2010' '10/12/2010' '9/12/2010' '8/12/2010' '6/12/2010'
 '2/12/2010' '7/12/2010' '10/02/2011' '9/02/2011' '14/02/2011'
 '11/02/2011' '12/02/2011' '15/02/2011' '26/08/2011' '29/08/2011'
 '2/09/2011' '5/09/2011' '1/09/2011' '8/09/2011' '20/04/2011' '18/04/2011'
 '19/04/2011' '13/01/2014' '14/01/2014' '17/09/2013' '20/09/2013'
 '18/09/2013' '22/04/2014' '7/05/2014']",[‘%d/%m/%Y’],[],[True]
22,lasse tarvainen sweden,"['jun-10' 'jun-sep-2009' '6/08/2013' '7/08/2013' '8/08/2013' '9/08/2013'
 '10/08/2013' '11/08/2013' '12/08/2013']","[‘%b-%y’, ‘%d/%m/%Y’, ‘range_of_months’]",[],"[False, True, ]"
23,"lucas cernusak northen territory, australia",['10/09/2008'],[‘%d/%m/%Y’],[],[True]
24,"mark g. tjoelker wisconsin, usa",[None],[],[],[]
25,martijn slot panama,"['3/12/2016' '6/12/2016' '8/12/2016' '13/12/2016' '15/12/2016'
 '24/01/2017' '29/11/2016' '1/12/2016' '22/12/2016' '26/01/2017'
 '24/12/2016' '20/01/2017' '30/01/2017' '25-apr-16' '29-apr-16'
 '31-mar-16' '3-feb-16' '15-mar-16' '30-mar-16' '13-apr-16' '28-mar-16'
 '1-feb-16' '27-apr-16' '14-mar-16' '23-mar-16' '29-mar-16' '5-feb-16'
 '24-mar-16' '7-may-16' '23-feb-16' '9-mar-16' '16-feb-16' '19-feb-16'
 '8-feb-16' '22-apr-16' '25-feb-16' '17-feb-16' '17-mar-16' '24-feb-16']","[‘%d/%m/%Y’, ‘%d-%b-%y’]",[],"[True, True]"
26,"michael battaglia tasmania, australia",['802' '1404' '2511' '12485' '12590' '211293' '281093'],[],[],[]
27,"michael j. aspinwall new south whales, australia",['9/07/2014' '8/07/2014' '7/07/2014'],[‘%d/%m/%Y’],[],[True]
28,molly a. cavaleri puerto rico,[None],[],[],[]
29,"nicholas g smith indiana, usa",[None],[],[],[]
30,"oula ghannoum new south whales, australia",[None],[],[],[]
31,qingmin han japan,['oct-04' 'may-04' None],[‘%b-%y’],[],[False]
32,"yan shih lin new south whales, australia","['jan-09' 'nov-08' '20/08/2008' '25/08/2008' '20/11/2008' '18/02/2009'
 '19/02/2009' '18/08/2008' '21/08/2008' '17/11/2008' '18/11/2008'
 '20/02/2009' '26/08/2008' '27/08/2008' '21/11/2008' '23/02/2009'
 '19/08/2008' '12/11/2008' '11/11/2008' '9/02/2009' '12/02/2009'
 '28/08/2008' '29/08/2008' '13/11/2008' '4/02/2009' '5/02/2009'
 '22/08/2008' '14/11/2008' '3/02/2009' '13/01/2010' '26/08/2009']","[‘%b-%y’, ‘%d/%m/%Y’]",[],"[False, True]"
33,yusuke onoda japan,['aug-02' 'may-02' 'oct-02'],[‘%b-%y’],[],[False]
